,Name,Brand,Price,Star_Ratings,Dial_Shape,Strap_Color,Model,Battery_Life,Call_Function,Bluetooth_Version,Display_Resolution,Display_Size,Weight,Battery_Type,Operating_System,Internal_Memory,GPS,No_of_Ratings,No_of_Reviews
0,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Orange,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,45,Lithium Polymer,Android 6.0 & iOS 12.0 and above,32 GB,No,43772,4441
2,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch",Noise,1199,4.1,Rectangle,Black,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",7,Yes,5.0,240 x 286,45.72,150,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,Yes,412996,27254
3,"beatXP Marv Neo 1.85'' HD Display Bluetooth Calling Smart Watch, Health Tracking & IP68 Smartwatch",beatXP,1299,4.1,Square,Black,"Marv Neo 1.85'' HD Display Bluetooth Calling Smart Watch, Health Tracking & IP68",7,Yes,5.0,240 x 280,46.0,150,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,Yes,69000,7226
6,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch",Noise,1199,4.1,Rectangle,Blue,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",7,Yes,5.0,240 x 286,45.72,80,Yes,Android 6.0 & iOS 12.0 and above,32 GB,Lithium Ion,412996,27254
9,"Fire-Boltt Hurricane 1.3"" Curved Glass Display with 360 Health Training, 100+ Sports Modes Smartwatch",Fire-Boltt,1099,4.1,Round,Grey,"Hurricane 1.3"" Curved Glass Display with 360 Health Training, 100+ Sports Modes",11,No,5.0,240 x 240,1.3,36,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,190799,25982
10,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Grey,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,220415,34430
11,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Black,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,60,Lithium Polymer,Android 6.0 & iOS 12.0 and above,32 GB,No,43772,4441
12,"Fire-Boltt Talk 1.28""Bluetooth Calling with SpO2, Metal Body & Luxury Design Smartwatch",Fire-Boltt,999,4.1,Round,Black,"Talk 1.28""Bluetooth Calling with SpO2, Metal Body & Luxury Design",15,Yes,5.0,240 x 240,32.51,60,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,288859,52785
13,Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces Smartwatch,Fastrack,1499,4.2,Rectangle,Black,Revoltt FS1|1.83 Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces,5,Yes,5.2,240 x 284,46.48,41.9,Lithium Polymer,Android 6.0 & iOS 12.0 and above,32 GB,No,140500,11675
14,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch",Noise,1199,4.1,Rectangle,Black,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",7,Yes,5.3,240 x 286,45.72,31.1,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,Yes,412996,27254
19,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant Smartwatch",Noise,1708,4.1,Rectangle,Black,"Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant",7,Yes,5.1,240 x 280,42.93,50,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,446721,31754
20,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Silver,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,220415,34430
21,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Blue,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,220415,34430
26,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Gold,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,220415,34430
27,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1499,4.2,Square,Green,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,220415,34430
28,"Noise Icon 3 1.91"" Display with Bluetooth Calling, Metallic finish & Voice Assistant Smartwatch",Noise,1399,4.1,Rectangle,Black,"Icon 3 1.91"" Display with Bluetooth Calling, Metallic finish & Voice Assistant",7,Yes,5.0,240 x 296,48.51,80,Yes,Android 6.0 & iOS 12.0 and above,32 GB,Lithium Ion,412996,27254
30,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Pink,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,220415,34430
32,Fire-Boltt Wonder 1.8 Bluetooth Calling Smart Watch with AI Voice Assistant Smartwatch,Fire-Boltt,1199,4.1,Square,Black,Wonder 1.8 Bluetooth Calling Smart Watch with AI Voice Assistant,5,Yes,5.0,240 x 286,45.72,40,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,88491,14093
33,boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch,boAt,1799,4.1,Rectangle,Black,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,Android 6.0 & iOS 12.0 and above,32 GB,No,337863,21308
34,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67 Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,iOS 9 and Above | Android 6 and Above,32 GB,No,183350,14403
36,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,iOS 9 and Above | Android 6 and Above,32 GB,No,183350,14403
37,"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2 Smartwatch",Boult,1099,4.1,Rectangle,White,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",7,Yes,5.0,240 x 280,46.99,42,Lithium Ion,iOS 9 and Above | Android 6 and Above,32 GB,No,183350,14403
38,"beatXP Marv Neo 1.85'' HD Display Bluetooth Calling Smart Watch, Health Tracking & IP68 Smartwatch",beatXP,1299,4.1,Square,Blue,"Marv Neo 1.85'' HD Display Bluetooth Calling Smart Watch, Health Tracking & IP68",7,No,5.0,240 x 280,46.0,23,Yes,iOS 9 and Above | Android 6 and Above,32 GB,No,69000,7226
41,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Orange,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,40,Lithium Polymer,iOS 9 and Above | Android 6 and Above,32 GB,No,43772,4441
42,Fire-Boltt Ninja Calling Pro 1.69 inch Bluetooth Calling Smartwatch with AI Voice Assistant Smartwatch,Fire-Boltt,1299,4.2,Square,Black,Ninja Calling Pro 1.69 inch Bluetooth Calling Smartwatch with AI Voice Assistant,5,Yes,5.0,240 x 280,42.93,40,Lithium Ion,iOS 9 and Above | Android 6 and Above,32 GB,No,62850,11700
43,"boAt Storm Call 2 1.83'' HD Display,BT Calling,boAt Coins & DIY Watch Face Studio Smartwatch",boAt,1499,4.1,Rectangle,Black,"Storm Call 2 1.83'' HD Display,BT Calling,boAt Coins & DIY Watch Face Studio",7,Yes,5.0,240 x 284,46.4,80,Yes,iOS 9 and Above | Android 6 and Above,32 GB,Lithium Ion,337863,21308
47,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Black,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,36,Lithium Polymer,"iOS 9 and Above, Android 6 and Above",32 GB,No,43772,4441
48,"Fire-Boltt Hurricane 1.3"" Curved Glass Display with 360 Health Training, 100+ Sports Modes Smartwatch",Fire-Boltt,1499,4.1,Round,Gold,"Hurricane 1.3"" Curved Glass Display with 360 Health Training, 100+ Sports Modes",11,No,5.0,240 x 240,1.3,36,Lithium Ion,"iOS 9 and Above, Android 6 and Above",32 GB,No,190799,25982
49,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring Smartwatch",Boult,1099,4.1,Rectangle,Beige,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,"iOS 9 and Above, Android 6 and Above",32 GB,No,183350,14403
50,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Grey,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,"iOS 9 and Above, Android 6 and Above",32 GB,No,220415,34430
57,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1499,4.2,Square,Green,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 13.0 and above,32 GB,No,220415,34430
58,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67 Smartwatch",Boult,1099,4.1,Rectangle,Green,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,Android 6.0 & iOS 13.0 and above,32 GB,No,183350,14403
60,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Silver,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,watchOS 8,32 GB,No,220415,34430
61,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Blue,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,watchOS 8,32 GB,No,220415,34430
63,"Noise Caliber Go 1.69"" HD Display with 30 Sports Modes, 150+ Watch Faces Smartwatch",Noise,1099,4.1,Square,Black,"Caliber Go 1.69"" HD Display with 30 Sports Modes, 150+ Watch Faces",10,No,5.2,240 x 280,43.0,56.5,Lithium Polymer,watchOS 8,32 GB,No,71821,4798
66,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Gold,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,watchOS 8,32 GB,No,220415,34430
67,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Pink,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,watchOS 8,32 GB,No,220415,34430
68,"Fire-Boltt Wonder 1.8"" Bluetooth Calling Smart Watch with AI Voice Assistant & Calculator Smartwatch",Fire-Boltt,1199,4.1,Square,Blue,"Wonder 1.8"" Bluetooth Calling Smart Watch with AI Voice Assistant & Calculator",5,Yes,5.0,240 x 286,45.72,40,Lithium Ion,watchOS 8,32 GB,No,88491,14093
69,"Noise Crew 1.38"" Display with Bluetooth Calling, Women's Edition, Metallic finish Smartwatch",Noise,1799,4.2,Round,Pink,"Crew 1.38"" Display with Bluetooth Calling, Women's Edition, Metallic finish",7,Yes,5.0,240 x 240,35.05,45,Lithium Polymer,watchOS 8,32 GB,No,75978,5310
71,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67 Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,watchOS 8,32 GB,No,183350,14403
73,"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2 Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",7,Yes,5.0,240 x 280,46.99,42,Lithium Ion,watchOS 8,32 GB,No,183350,14403
74,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,watchOS 8,32 GB,No,183350,14403
75,"beatXP Marv Neo 1.85'' HD Display Bluetooth Calling Smart Watch, Health Tracking & IP68 Smartwatch",beatXP,1299,4.1,Square,Silver,"Marv Neo 1.85'' HD Display Bluetooth Calling Smart Watch, Health Tracking & IP68",7,Yes,5.0,240 x 280,46.0,150,Lithium Ion,watchOS 8,32 GB,No,69000,7226
76,"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2 Smartwatch",Boult,1099,4.1,Rectangle,White,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",7,Yes,5.0,240 x 280,46.99,42,Lithium Ion,watchOS 8,32 GB,No,183350,14403
78,Ambrane Wise-Eon 1.69Lucid Display bluetooth calling function & 7 days battery life Smartwatch,Ambrane,1499,4.2,Square,Black,Wise-Eon 1.69Lucid Display bluetooth calling function & 7 days battery life,10,Yes,5.2,240 x 280,42.93,41.9,Lithium Polymer,watchOS 8,32 GB,No,84103,8421
79,Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces Smartwatch,Fastrack,1499,4.2,Rectangle,Beige,Revoltt FS1|1.83 Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces,5,Yes,5.2,240 x 284,46.48,41.9,Lithium Polymer,watchOS 8,32 GB,No,140500,11675
80,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Orange,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,45,Lithium Polymer,watchOS 8,32 GB,No,43772,4441
83,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67 Smartwatch",Boult,1099,4.1,Rectangle,Green,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,watchOS 8,32 GB,No,183350,14403
87,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Grey,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,watchOS 8,32 GB,No,220415,34430
90,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Black,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,56,Lithium Polymer,"iOS 9 and Above, Android 6 and Above",16 GB,No,43772,4441
92,"Noise Caliber Go 1.69"" HD Display with 30 Sports Modes, 150+ Watch Faces Smartwatch",Noise,1099,4.1,Square,Black,"Caliber Go 1.69"" HD Display with 30 Sports Modes, 150+ Watch Faces",10,No,5.0,240 x 280,43.0,60,Lithium Ion,"iOS 9 and Above, Android 6 and Above",16 GB,No,71821,4798
94,Noise Icon 2 Elite Edition 1.8'' Display with Metallic Body and Bluetooth Calling Smartwatch,Noise,1799,4.1,Rectangle,Silver,Icon 2 Elite Edition 1.8'' Display with Metallic Body and Bluetooth Calling,7,Yes,5.1,240 x 286,45.72,50,Lithium Polymer,"iOS 9 and Above, Android 6 and Above",16 GB,No,412996,27254
95,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant Smartwatch",Noise,999,4.1,Rectangle,Green,"Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant",7,Yes,5.1,240 x 280,42.93,50,Lithium Polymer,"iOS 9 and Above, Android 6 and Above",16 GB,No,446721,31754
97,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Silver,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,"iOS 9 and Above, Android 6 and Above",16 GB,No,220415,34430
100,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Blue,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,"iOS 9 and Above, Android 6 and Above",16 GB,No,220415,34430
101,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Gold,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,"iOS 9 and Above, Android 6 and Above",16 GB,No,220415,34430
104,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, Women's Edition, Voice Assistant Smartwatch",Noise,1399,4.1,Rectangle,Pink,"Icon Buzz 1.69"" Display with Bluetooth Calling, Women's Edition, Voice Assistant",7,Yes,5.1,240 x 280,42.93,50,Lithium Ion,"iOS 9 and Above, Android 6 and Above",16 GB,No,446721,31754
105,boAt Wave Connect Plus with 1.83'' HD Display with BT Calling & Lightweight Design Smartwatch,boAt,1499,4.2,Rectangle,Black,Wave Connect Plus with 1.83'' HD Display with BT Calling & Lightweight Design,7,Yes,5.0,240 x 284,46.48,40,Lithium Ion,"iOS 9 and Above, Android 6 and Above",16 GB,No,56586,4464
106,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1499,4.2,Square,Green,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,"iOS 9 and Above, Android 6 and Above",16 GB,No,220415,34430
108,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Pink,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,"iOS 9 and Above, Android 6 and Above",16 GB,No,220415,34430
110,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67 Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,"iOS 9 and Above, Android 6 and Above",16 GB,No,183350,14403
111,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,"iOS 9 and Above, Android 6 and Above",16 GB,No,183350,14403
116,"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2 Smartwatch",Boult,1099,4.1,Rectangle,White,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",7,Yes,5.0,240 x 280,46.99,42,Lithium Ion,"iOS 9 and Above, Android 6 and Above",16 GB,No,183350,14403
118,Ambrane Wise-Eon 1.69Lucid Display bluetooth calling function & 7 days battery life Smartwatch,Ambrane,1499,4.2,Square,Black,Wise-Eon 1.69Lucid Display bluetooth calling function & 7 days battery life,10,Yes,5.0,240 x 280,42.93,80,Lithium Ion,"iOS 9 and Above, Android 6 and Above",16 GB,No,84103,8421
121,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Orange,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,80,Lithium Polymer,"iOS 9 and Above, Android 6 and Above",16 GB,No,43772,4441
127,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Black,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,56.1,Lithium Polymer,"iOS 9 and Above, Android 6 and Above",16 GB,No,43772,4441
128,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1599,4.1,Square,Silver,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,56.1,Lithium Polymer,"iOS 9 and Above, Android 6 and Above",16 GB,No,43772,4441
133,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Blue,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and above,16 GB,No,220415,34430
134,Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces Smartwatch,Fastrack,1499,4.2,Rectangle,Maroon,Revoltt FS1|1.83 Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces,5,Yes,5.2,240 x 284,46.48,41.9,Lithium Polymer,Android 6.0 & iOS 12.0 and above,16 GB,No,140500,11675
135,"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2 Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",7,Yes,5.0,240 x 280,46.99,42,Lithium Ion,Android 6.0 & iOS 12.0 and above,16 GB,No,183350,14403
136,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1499,4.2,Square,Green,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and above,16 GB,No,220415,34430
137,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Gold,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and above,16 GB,No,220415,34430
138,boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch,boAt,1799,4.1,Rectangle,Blue,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,7,Yes,5.0,240 x 280,42.93,40,Yes,Android 6.0 & iOS 12.0 and above,16 GB,No,337863,21308
140,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Pink,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,iOS 9 and Above | Android 6 and Above,16 GB,No,220415,34430
141,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Grey,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,iOS 9 and Above | Android 6 and Above,16 GB,No,220415,34430
142,"Fire-Boltt Hunter 2.01 inch HD Display Buetooth Calling with Single Chipset, Metal Body Smartwatch",Fire-Boltt,1399,4.2,Square,Blue,"Hunter 2.01 inch HD Display Buetooth Calling with Single Chipset, Metal Body",5,Yes,5.0,240 x 296,51.05,36.8,Lithium Ion,iOS 9 and Above | Android 6 and Above,16 GB,Yes,220415,34430
